timestep,demand,raw_core_demand,active_vm_count
490,0.9707308127991833,110135.73116053335,858411
491,0.9695442171534587,110001.10415857703,857817
492,0.9696626596535792,110014.54223139728,859355
493,0.9690427012937206,109944.20391890957,858460
494,0.9654605893680529,109537.78999773749,856850
495,0.9643118974517101,109407.4634206715,856170
496,0.9644820097651323,109426.76377023404,856674
497,0.963991896267818,109371.15720282459,855750
498,0.9636688123381064,109334.50122739264,856023
499,0.9627290050590435,109227.87397247825,854715
500,0.9618284310186561,109125.69798394004,854553
501,0.9606694427655305,108994.20322042637,852659
502,0.9603820454122551,108961.59611944715,851897
503,0.959935053889482,108910.88202081746,851455
504,0.9599258551268595,108909.8383613046,851609
505,0.9595776107149054,108870.32776534182,850927
506,0.9595671726380843,108869.14349756393,850909
507,0.9588057066379106,108782.7502219233,850682
508,0.9594626649685554,108857.28642200427,851221
509,0.9597206836193923,108886.56031790651,851415
510,0.9596124581277784,108874.28143122449,851116
511,0.9595751387981192,108870.04731028771,851379
512,0.9624095566945566,109191.63047559229,856237
513,0.9626946364372083,109223.97462855624,856179
514,0.9624812829325408,109199.76828430261,856341
515,0.9626687209408985,109221.03434676355,856051
516,0.9602633930693062,108948.13423859172,855268
517,0.9597866255706159,108894.04186162223,854081
518,0.9590295223149126,108808.14356774768,853939
519,0.9588033514015752,108782.48300502605,853802
520,0.9485532994649798,107619.54787451844,850131
521,0.9456736538429424,107292.8333292659,849335
522,0.9466043165774594,107398.42307606123,849736
523,0.9449581847915809,107211.65870695509,845766
524,0.9455615216080767,107280.11119712508,847036
525,0.9445974607160729,107170.73221190677,844846
526,0.9347674326001901,106055.45151864282,839451
527,0.9344996338064434,106025.06800184875,839479
528,0.9367288984334698,106277.99258857315,842007
529,0.9291455588813788,105417.61334110724,838497
530,0.9287735657060707,105375.40829331324,838084
531,0.9286189770040955,105357.8691985439,837950
532,0.9300778915513751,105523.39255295567,839603
533,0.930275493161059,105545.81174216249,840003
534,0.931659892101076,105702.88081575766,841214
535,0.9321726837367901,105761.06036562638,841400
536,0.9326861160718478,105819.31260700728,842672
537,0.932747884488521,105826.3206360543,842608
538,0.9318176334074373,105720.77759402126,842193
539,0.9314417828468371,105678.13490075036,842207
540,0.9318744621227167,105727.22518178265,842343
541,0.9339687938239636,105964.84074952628,843206
542,0.9344026103326628,106014.0600570265,843486
543,0.9347063162934672,106048.51747571556,843938
544,0.9356114966020791,106151.21607537536,845592
545,0.9354717218836935,106135.35772349843,845423
546,0.9358718881862607,106180.75919601576,848719
547,0.9369620517160024,106304.44534654233,847138
548,0.937299599538013,106342.7423447303,847551
549,0.9378019065178564,106399.73234212471,847712
550,0.9386589514805567,106496.96967338059,848933
551,0.9387526431683482,106507.59960538906,849649
552,0.9398062943826513,106627.14319599667,850385
553,0.9390460410575295,106540.88750623642,849544
554,0.9378276143812337,106402.6490666093,847369
555,0.93739979992592,106354.11073114516,846691
556,0.9402553305109038,106678.08926843047,849590
557,0.9418040103037123,106853.79707441086,850180
558,0.9396501717798131,106609.43007018717,848367
559,0.9340639544693221,105975.63734433513,846328
560,0.9330396159548168,105859.41947037519,846153
561,0.93485260474844,106065.11485341939,846920
562,0.9336865576754343,105932.8192208302,846389
563,0.9330791889429324,105863.90928353745,845878
564,0.9326973295501987,105820.58484913738,844954
565,0.9334200167153479,105902.57841345468,845248
566,0.9327936753862535,105831.51591154753,845324
567,0.9317865797901962,105717.25435895451,844680
568,0.932784819687606,105830.51117487633,845695
569,0.9324654557514547,105794.27725693476,845348
570,0.9322278163227852,105767.31551647694,845138
571,0.9324391649456527,105791.29439383654,844071
572,0.9322918885507646,105774.58492791682,843733
573,0.9323814053929647,105784.74119651043,846399
574,0.9313083716788672,105662.99853510129,843342
575,0.9308045023332062,105605.8312771323,843195
576,0.9310892548279778,105638.13830169353,843672
577,0.9303797018486277,105557.6348962721,841966
578,0.9299792584540831,105512.20198586576,840485
579,0.9293691439104178,105442.98051841847,839960
580,0.929740627731717,105485.12777668373,841104
581,0.9292365865331913,105427.94102088829,839938
582,0.92870621285525,105367.76667385183,839943
583,0.9167352876156772,104009.58726247965,833457
584,0.9169003585042181,104028.31562956459,833382
585,0.9153849653945152,103856.38441451281,831416
586,0.9150319420888211,103816.33162193975,830513
587,0.9149385767337674,103805.73871450515,830455
588,0.9158786312453622,103912.39401956,831107
589,0.9147129263458815,103780.13720878513,831276
590,0.9146197764765439,103769.56874960805,831049
591,0.9141302868949791,103714.0329695027,830642
592,0.9156400956557185,103885.33060380474,831363
593,0.9158715211924129,103911.5873377592,830942
594,0.9152197953919373,103837.64480229504,830417
595,0.9143726386250874,103741.52935124064,830099
596,0.9144171685352944,103746.58155948878,829522
597,0.9143437364869971,103738.25021549186,829460
598,0.913391778901931,103630.24442925052,829052
599,0.9117485691428715,103443.81158311239,827702
600,0.9118758242125314,103458.2494993257,828439
601,0.9107584142160744,103331.47205974798,827279
602,0.9113374853438547,103397.17144953879,827590
603,0.9116665292439595,103434.50362241734,828399
604,0.9115416718806308,103420.3377415988,828364
605,0.9113819170359496,103402.21251430262,827559
606,0.911419232328264,103406.44617717633,827683
607,0.9116124705762355,103428.37031458694,827472
608,0.911961743942651,103467.99765213291,827535
609,0.9121149201009717,103485.37648462754,827626
610,0.9109067341425452,103348.29992112021,825851
611,0.9102074426244907,103268.96074529534,825805
612,0.9102952668083388,103278.924970778,826136
613,0.910778194217028,103333.71622964415,825793
614,0.9130200954636126,103588.07452313472,826774
615,0.9149235309329771,103804.03167044195,827855
616,0.9156692565477658,103888.63909687469,828957
617,0.9168446288242745,104021.99273451789,831005
618,0.9158845637755446,103913.06710373603,830874
619,0.9155133781678454,103870.95367974536,830387
620,0.9159968314780029,103925.80460555726,831548
621,0.9156323600243107,103884.45294605468,830882
622,0.9155122082153312,103870.82094101503,830319
623,0.9158791268410014,103912.4502481121,831423
624,0.9167875369232639,104015.51528662168,832946
625,0.9185187958024862,104211.93787873194,836963
626,0.9191446691744042,104282.94728785055,837305
627,0.9185586269823345,104216.45698542737,836461
628,0.9187003856707334,104232.54043161999,837473
629,0.9191397062083757,104282.38420704064,837958
630,0.9192796324937534,104298.2597551797,838100
631,0.918558624521108,104216.4567061852,837743
632,0.9190712502102484,104274.61742833468,838141
633,0.9196420338026889,104339.37654328087,838889
634,0.9200591724250594,104386.70363598703,839315
635,0.9195680144329468,104330.97856384197,839162
636,0.922102113063223,104618.48855301557,840861
637,0.9227771694450863,104695.07809484407,840745
638,0.9230594192588347,104727.10117394823,840682
639,0.9235474153369924,104782.4675063678,840936
