step,demand,power_it,power_total,pue,sla_violation,active_hosts,sleep_hosts,off_hosts,dvfs,avg_temp,max_temp,switches,migrations,mean_host_age
26,0.9810370206832886,1336.8497314453125,1878.047693065219,1.4048308114890364,0.0,8,0,0,1.0,58.84321975708008,66.9980239868164,0,0,37.337989807128906
27,0.9851729273796082,1339.2816162109375,1881.7125148234286,1.4050163102717135,0.0,8,0,0,1.0,58.84601974487305,66.99861907958984,0,0,38.75337219238281
28,0.9888399243354797,1341.437744140625,1885.1211707715302,1.4052990375481116,0.0,8,0,0,1.0,58.868194580078125,66.99903106689453,0,0,40.16941452026367
29,0.9881253838539124,1341.0177001953125,1884.584979493109,1.405339377115327,0.0,8,0,0,1.0,58.87977981567383,66.99932098388672,0,0,41.585811614990234
30,1.0069242715835571,1298.246826171875,1817.5872091061137,1.4000320836258937,0.0,8,0,0,1.0,58.486907958984375,66.99952697753906,0,0,42.99041748046875
31,1.009026288986206,1299.370361328125,1817.1983310977714,1.3985222267501616,0.0,8,0,0,1.0,58.222434997558594,66.99967193603516,0,0,44.38709259033203
32,1.0121488571166992,1301.03955078125,1818.3585369796267,1.3976197233110526,0.0,8,0,0,1.0,58.052947998046875,66.99977111816406,0,0,45.77867889404297
33,1.0043835639953613,1296.8885498046875,1810.962179086278,1.396389982284145,0.0,8,0,0,1.0,57.89539337158203,66.99983978271484,0,0,47.16554260253906
34,1.0090737342834473,1299.3958740234375,1814.009928633552,1.3960410102093583,0.0,8,0,0,1.0,57.80860900878906,66.99988555908203,0,0,48.549800872802734
35,0.9948027729988098,1344.944091796875,1884.7814575939703,1.4013827556771232,0.0,8,0,0,1.0,58.17488098144531,66.99991607666016,0,0,49.945045471191406
36,1.0013679265975952,1295.2767333984375,1809.1144487898612,1.3967011080661194,0.0,8,0,0,1.0,57.96563720703125,66.99993896484375,0,0,51.334014892578125
37,0.9945975542068481,1344.8232421875,1885.4785552674084,1.4020270442385232,0.0,8,0,0,1.0,58.283660888671875,66.99995422363281,0,0,52.732521057128906
38,0.995725691318512,1345.4866943359375,1888.318190271994,1.403446201453497,0.0,8,0,0,1.0,58.51250076293945,66.99996948242188,0,0,54.137901306152344
